MO	DA	YEAR	TMAX	TMIN	SOL	PRCP	RH	WIND
01	01	2000	18.9	2.1	160.9	0.0	14.4	2.1
01	02	2000	18.2	3.7	162.0	0.0	15.9	0.5
01	03	2000	14.5	2.0	127.3	0.0	10.7	3.1
01	04	2000	11.0	1.9	69.4	2.7	23.5	4.7
01	05	2000	7.3	-0.5	56.7	5.0	49.8	5.1
01	06	2000	7.5	-2.6	40.5	12.8	62.9	3.8
01	07	2000	5.3	-3.8	122.7	0.0	40.6	1.4
01	08	2000	8.3	-3.0	129.6	0.0	33.6	3.1
01	09	2000	9.7	-2.5	112.3	0.0	42.1	2.5
01	10	2000	8.1	-1.3	105.3	0.0	43.1	2.7
01	11	2000	8.5	-1.6	90.3	0.0	37.1	0.9
01	12	2000	5.5	-4.1	121.5	0.0	26.9	0.9
01	13	2000	6.4	-4.8	147.0	0.0	24.7	1.3
01	14	2000	6.1	-6.6	150.5	0.0	24.9	2.6
01	15	2000	6.5	-7.5	101.9	2.4	16.3	2.3
01	16	2000	4.4	-5.7	49.8	2.9	32.2	1.9
01	17	2000	3.7	-8.4	99.5	0.0	16.2	0.9
01	18	2000	7.4	-6.8	134.3	0.0	11.6	5.1
01	19	2000	6.8	-3.0	67.1	2.3	48.4	6.4
01	20	2000	7.4	-3.8	106.5	0.0	34.6	5.2
01	21	2000	6.2	-3.7	99.5	2.5	44.2	6.6
01	22	2000	4.9	-7.0	121.5	0.0	15.1	4.7
01	23	2000	6.7	-5.9	153.9	0.0	24.7	2.6
01	24	2000	8.6	-5.5	174.8	0.0	31.4	0.7
01	25	2000	9.6	-2.0	143.5	0.0	18.3	4.6
01	26	2000	10.0	-0.8	103.0	1.2	35.5	6.0
01	27	2000	9.0	1.0	142.4	0.0	51.4	4.9
01	28	2000	7.9	-8.2	59.0	5.6	63.4	1.9
01	29	2000	2.7	-10.6	38.2	9.0	73.0	2.0
01	30	2000	2.7	-11.6	57.9	0.0	66.8	2.5
01	31	2000	5.4	-12.6	75.2	0.0	53.8	2.1
02	01	2000	3.9	-9.2	135.4	0.0	29.4	3.9
02	02	2000	2.0	-10.4	110.0	0.5	46.1	1.4
02	03	2000	3.8	-9.5	167.8	0.0	40.3	0.8
02	04	2000	6.1	-7.5	180.6	0.0	28.4	3.1
02	05	2000	8.1	-6.6	175.9	0.0	25.3	2.3
02	06	2000	7.9	-4.1	188.7	1.6	24.7	4.6
